enrollment_id,term_id,course_title,class_id,grade,student_id,first_name,last_name,credits_earned,date_of_birth,student_employee,gpa,age,course_subject,course_number,course_section,academic_plans
86175930,2221,General Physics 1,PHYS-1-1110-16,87.45,111967,Whitby,Cattlow,142,12/24/03,1,2.88,18,PHYS,1110,16,Engineering - Undetermined
63632222,2221,General Biology 2,EBIO-1-1220-3,86.93,809492,Niven,Duer,123,10/9/03,0,3.12,19,EBIO,1220,3,Philosophy
99318055,2221,General Physics 1,PHYS-1-1110-16,90.09,768882,Glenn,Petrovic,122,3/16/04,0,3.48,18,PHYS,1110,16,Humanities Concurr Deg
44936243,2221,General Biology 1,EBIO-1-1210-10,83.86,948790,Madonna,Butter,120,3/30/00,0,3.35,22,EBIO,1210,10,Engineering Phys & Business
64402218,2221,General Biology 1,EBIO-1-1210-10,79.43,195880,Kavi,Choudhary,135,3/26/04,0,3.37,18,EBIO,1210,10,Journalism - Open Option
76295640,2221,General Chemistry 1,CHEM-1-1113-21,84.99,195880,Kavi,Choudhary,135,3/26/04,0,3.37,18,CHEM,1113,21,Journalism - Open Option
13707188,2221,General Chemistry 1,CHEM-1-1113-21,91.73,265354,Dorotea,Macak,108,10/18/03,0,2.77,19,CHEM,1113,21,Statistics and Data Science
91545502,2221,General Physics 1,PHYS-1-1110-15,94.56,265354,Dorotea,Macak,108,10/18/03,0,2.77,19,PHYS,1110,15,Statistics and Data Science
44304531,2221,General Biology 1,EBIO-1-1210-11,93.96,729552,Cherish,Aitcheson,139,12/3/03,0,4.0,18,EBIO,1210,11,"Economics, Concurrent Degree"
67208610,2221,General Biology 2,EBIO-1-1220-3,71.89,789476,Carlyle,Prujean,119,9/24/98,0,2.41,24,EBIO,1220,3,Public Relations & Business
31208580,2221,General Biology 2,EBIO-1-1220-3,65.14,610331,Portie,Le Grys,117,9/1/00,1,3.75,22,EBIO,1220,3,Organization Management
77990583,2221,General Biology 1,EBIO-1-1210-11,83.61,672546,Toma,Planks,133,5/2/98,0,2.99,24,EBIO,1210,11,Open Option
50453876,2221,General Chemistry 1,CHEM-1-1113-21,84.05,672546,Toma,Planks,133,5/2/98,0,2.99,24,CHEM,1113,21,Open Option
79974460,2221,General Physics 1,PHYS-1-1110-16,92.2,672546,Toma,Planks,133,5/2/98,0,2.99,24,PHYS,1110,16,Open Option
79883934,2221,General Biology 2,EBIO-1-1220-3,60.91,295972,Atlanta,Fretter,138,5/5/00,0,2.61,22,EBIO,1220,3,Music & Business
30725669,2221,General Biology 2,EBIO-1-1220-1,68.52,437005,Olwen,Beveredge,135,9/14/99,0,2.15,23,EBIO,1220,1,Religious Studies
52405021,2221,General Biology 1,EBIO-1-1210-10,82.09,197853,Odelle,Meni,136,6/14/99,0,4.0,23,EBIO,1210,10,English
70231507,2221,General Biology 2,EBIO-1-1220-3,79.69,741056,Kaylil,Fozzard,116,10/14/99,0,4.0,23,EBIO,1220,3,Piano Performance
98593765,2221,General Biology 1,EBIO-1-1210-10,90.18,821625,Ellswerth,Bromidge,117,10/24/02,0,4.0,20,EBIO,1210,10,Architectural Engineering
50420571,2221,General Biology 2,EBIO-1-1220-1,84.21,877525,Portia,McCaughey,111,12/13/03,0,2.35,18,EBIO,1220,1,"Information Systems, Conc Degr"
13572167,2221,General Biology 2,EBIO-1-1220-3,94.16,508073,Karil,Birkmyr,126,2/27/02,0,2.9,20,EBIO,1220,3,"Information Systems, Conc Degr"
41067587,2221,General Biology 1,EBIO-1-1210-11,82.95,507062,Juditha,Callington,131,3/28/02,0,1.28,20,EBIO,1210,11,Elec Engr & Computer Sci
33580145,2221,General Biology 1,EBIO-1-1210-11,75.88,100924,Munmro,Shuxsmith,109,8/4/02,0,2.63,20,EBIO,1210,11,Classical Antiquity
88796458,2221,General Chemistry 1,CHEM-1-1113-22,78.97,100924,Munmro,Shuxsmith,109,8/4/02,0,2.63,20,CHEM,1113,22,Classical Antiquity
58666432,2221,General Biology 2,EBIO-1-1220-1,62.95,281850,Shelia,Seldner,141,9/2/03,0,4.0,19,EBIO,1220,1,Linguistics;French
92918515,2221,General Biology 1,EBIO-1-1210-11,74.25,473651,Umeko,Kenealy,124,7/1/03,0,4.0,19,EBIO,1210,11,Office Administration
66588206,2221,General Physics 1,PHYS-1-1110-15,93.32,848689,Ferne,Kirckman,99,1/30/00,0,3.23,22,PHYS,1110,15,Music - Undetermined
62686575,2221,General Biology 1,EBIO-1-1210-10,75.53,510845,Prakash,Kuroda,110,5/28/04,1,4.0,18,EBIO,1210,10,Performance
71987402,2221,General Chemistry 1,CHEM-1-1113-21,89.57,416077,Anant,Rao,128,11/10/00,0,3.81,22,CHEM,1113,21,Business - Undetermined
87044258,2221,General Physics 1,PHYS-1-1110-16,89.79,265877,Deborah,MacRory,135,12/24/99,0,3.62,22,PHYS,1110,16,Real Estate
49590198,2221,General Biology 1,EBIO-1-1210-10,81.44,224980,Averil,Stapleton,119,6/2/01,1,3.47,21,EBIO,1210,10,Environmental Prod of Design
45056488,2221,General Chemistry 1,CHEM-1-1113-21,87.24,224980,Averil,Stapleton,119,6/2/01,1,3.47,21,CHEM,1113,21,Environmental Prod of Design
46113725,2221,General Chemistry 1,CHEM-1-1113-21,64.55,857882,Cordell,Bolger,110,9/14/01,0,2.01,21,CHEM,1113,21,Computer Science
53931402,2221,General Biology 1,EBIO-1-1210-11,81.21,450147,Ben,Valenta,142,1/13/02,0,3.71,20,EBIO,1210,11,American Studies
19086078,2221,General Physics 1,PHYS-1-1110-16,84.87,267871,Seamus,MacAlpin,94,1/13/02,0,2.07,20,PHYS,1110,16,Music Education
27706585,2221,General Biology 1,EBIO-1-1210-11,85.16,844991,Midge,Glover,132,4/1/01,0,2.68,21,EBIO,1210,11,Religious Studies Concurr Deg
45381591,2221,General Physics 1,PHYS-1-1110-16,82.21,961655,Mikaela,Dany,123,1/31/04,0,3.57,18,PHYS,1110,16,Theatre
16242308,2221,General Physics 1,PHYS-1-1110-16,83.71,836340,Kelcie,Poser,129,12/12/01,0,2.63,20,PHYS,1110,16,Business - Open Option
29494848,2221,General Biology 1,EBIO-1-1210-11,86.8,452889,Armando,Rainer,138,12/30/00,0,3.89,21,EBIO,1210,11,Humanities Concurr Deg
14297994,2221,General Physics 1,PHYS-1-1110-16,95.07,602747,Luci,Golton,132,7/10/98,1,2.96,24,PHYS,1110,16,Integrative Physiology-Con Deg
77033020,2221,General Biology 1,EBIO-1-1210-10,91.43,384628,Michail,Enzley,112,3/14/01,0,3.78,21,EBIO,1210,10,Neuroscience;Biology
62637135,2221,General Chemistry 1,CHEM-1-1113-21,72.66,384628,Michail,Enzley,112,3/14/01,0,3.78,21,CHEM,1113,21,Neuroscience;Biology
39080615,2221,General Biology 1,EBIO-1-1210-11,82.43,315688,David,Korlat,134,6/23/02,0,2.29,20,EBIO,1210,11,Russian Studies
27886473,2221,General Biology 2,EBIO-1-1220-3,84.0,826757,Xena,Asquith,124,3/31/99,0,4.0,23,EBIO,1220,3,Chem & Biol Engr Concur Deg
54458732,2221,General Chemistry 1,CHEM-1-1113-21,79.61,530502,Sonja,Penylton,107,2/21/04,0,2.01,18,CHEM,1113,21,Classical Antiquity
74679770,2221,General Chemistry 1,CHEM-1-1113-21,76.04,860087,Truda,Elders,114,1/22/01,0,3.11,21,CHEM,1113,21,Fine Arts - Studio Arts
26212755,2221,General Biology 2,EBIO-1-1220-3,69.53,247264,Shannon,Storks,107,2/22/99,0,3.98,23,EBIO,1220,3,Pre-Business
68756732,2221,General Biology 1,EBIO-1-1210-11,83.17,365036,Pansy,Loveitt,142,8/24/02,0,3.16,20,EBIO,1210,11,Cinema Stds/Moving Image Arts
34809253,2221,General Physics 1,PHYS-1-1110-16,83.16,365036,Pansy,Loveitt,142,8/24/02,0,3.16,20,PHYS,1110,16,Cinema Stds/Moving Image Arts
31208729,2221,General Chemistry 1,CHEM-1-1113-22,77.67,521541,Ellerey,Quarry,132,1/13/03,0,3.37,19,CHEM,1113,22,Sociology
72136995,2221,General Chemistry 1,CHEM-1-1113-21,85.79,615961,Candide,Innett,121,4/30/03,0,3.62,19,CHEM,1113,21,Art History
76894344,2221,General Chemistry 1,CHEM-1-1113-22,80.91,824076,Lorelle,Coulman,133,11/3/03,0,2.48,19,CHEM,1113,22,Architecture
46755863,2221,General Chemistry 1,CHEM-1-1113-22,75.13,852337,Cacilia,Pates,115,7/21/03,1,3.6,19,CHEM,1113,22,Philosophy
59572410,2221,General Biology 1,EBIO-1-1210-10,92.95,896386,Bernie,Hardaway,113,10/17/98,0,3.56,24,EBIO,1210,10,"Electrical Engr, Concur Degree"
65164548,2221,General Biology 1,EBIO-1-1210-11,77.12,401591,Bobbye,Cohen,139,1/4/04,0,3.86,18,EBIO,1210,11,News - Editorial
23304827,2221,General Chemistry 1,CHEM-1-1113-21,89.98,401591,Bobbye,Cohen,139,1/4/04,0,3.86,18,CHEM,1113,21,News - Editorial
10304181,2221,General Chemistry 1,CHEM-1-1113-21,76.62,758870,Emmalyn,Mullen,125,3/28/02,0,2.45,20,CHEM,1113,21,Physics for Secondary Schools
83779201,2221,General Chemistry 1,CHEM-1-1113-22,93.85,540842,Rubina,McCurlye,137,7/17/01,1,2.05,21,CHEM,1113,22,Journalism - Undetermined
78539481,2221,General Biology 1,EBIO-1-1210-10,65.29,546841,Quyen,Wattana,97,9/16/99,1,4.0,23,EBIO,1210,10,Economics
40987078,2221,General Biology 2,EBIO-1-1220-3,55.29,504838,Drusi,Handover,122,2/6/99,1,3.62,23,EBIO,1220,3,Aerospace Engineering Sciences
55623374,2221,General Physics 1,PHYS-1-1110-16,88.66,792859,Elvin,Deguara,115,10/15/01,0,3.78,21,PHYS,1110,16,Electrical Engineering
17782294,2221,General Chemistry 1,CHEM-1-1113-22,75.02,545384,Robers,Sandwich,120,5/16/00,0,3.54,22,CHEM,1113,22,Personnel-Human Resources Mgt
65092176,2221,General Biology 1,EBIO-1-1210-10,90.64,631296,Mariele,Mouan,133,11/30/98,0,2.82,23,EBIO,1210,10,Environmental Design
85724743,2221,General Chemistry 1,CHEM-1-1113-22,78.02,631296,Mariele,Mouan,133,11/30/98,0,2.82,23,CHEM,1113,22,Environmental Design
62616427,2221,General Biology 1,EBIO-1-1210-10,92.78,114604,Tabor,Pfleger,134,1/24/99,1,4.0,23,EBIO,1210,10,Composition
54240180,2221,General Physics 1,PHYS-1-1110-15,89.04,514433,Rahel,Edge,134,1/22/02,0,2.94,20,PHYS,1110,15,Business - Undetermined
